English word,French word,Frequency
abide,respecter,35
about,sur,358
above,au dessus,124
abroad,à l'étranger,63
absence,absence,55
abuse,abuser de,46
according,selon,24
account,Compte,45
accuse,accuser,34
acquainted,connaissance,38
action,action,113
advantage,avantage,70
advice,Conseil,43
affairs,affaires,66
affection,affection,71
affections,affections,40
afraid,peur,41
after,après,339
afterwards,ensuite,38
again,encore,757
alive,vivant,86
almost,presque,139
alone,seul,232
along,le long de,108
already,déjà,139
although,bien que,37
always,toujours,59
ambition,ambition,45
ancient,ancien,72
angel,ange,55
anger,colère,58
another,un autre,370
answer,répondre,403
anything,n'importe quoi,100
apparel,vêtements,39
appear,apparaître,133
appears,apparaît,49
approach,approche,64
argument,argument,67
armour,armure,41
aside,de côté,130
asleep,endormi,59
assure,assurer,46
attend,assister,103
attended,assisté,42
authority,autorité,51
avoid,éviter,34
awake,éveillé,62
awhile,quelque temps,101
banish,bannir,116
barren,Dénudé,38
bastard,Connard,66
battle,bataille,117
beard,barbe,96
bearing,palier,63
bears,ours,102
beast,la bête,72
beaten,battu,48
beauty,beauté,224
because,car,81
become,devenir,131
before,avant,628
beggar,mendiant,73
begin,commencer,102
behalf,nom,45
behind,derrière,114
behold,voir,119
being,étant,548
believe,croyez,185
belike,être comme,22
below,au dessous de,52
benefit,avantage,39
besides,outre,49
betray,trahir,56
better,mieux,566
between,entre,195
beyond,au-delà,43
birth,naissance,87
bishop,évêque,3
bitter,amer,73
black,noir,157
blame,faire des reproches,82
bless,bénir,97
blessing,bénédiction,42
blest,heureux,50
blind,aveugle,82
blood,du sang,660
blows,coups,68
blunt,cru,27
blush,rougir,52
bodies,corps,44
bones,des os,76
borne,supporté,80
bottom,bas,36
bought,acheté,51
bound,lié,171
bounty,prime,41
brain,cerveau,95
brains,cerveaux,45
brave,courageux,146
breast,Sein,98
breath,souffle,229
breed,race,47
brief,bref,84
bright,brillant,70
bring,apporter,375
broke,cassé,84
brook,ruisseau,43
brother,frère,600
brought,apporté,186
brows,sourcils,45
burden,fardeau,45
buried,enterré,54
burning,brûlant,50
business,Entreprise,231
cannot,ne peux pas,718
captain,capitaine,60
cardinal,cardinal,9
cares,se soucie,36
